round,data_idle_p0,data_idle_p1,data_idle_p2,data_gate_p0,data_gate_p1,data_gate_p2,data_idle_z_p0,data_idle_z_p1,data_idle_z_p2,data_gate_z_p0,data_gate_z_p1,data_gate_z_p2,ancilla_gate,prep_error,meas_error,leakage_error,correlated_gate,correlated_phase,data_crosstalk,data_crosstalk_z,correction_error,correction_phase_error,decoder_proxy_p0,decoder_proxy_p1,decoder_proxy_p2,decoder_proxy_meas,calib_p0,calib_p1,calib_p2,calib_meas,calibration_fresh,calibration_period,calibration_phase,source
10,0.0011504105916044127,0.0004976294585591271,1.959949836460361e-06,0.004267062175942862,0.0017207079339680274,7.76339404320762e-06,0.002054969027272618,5.115110774030339e-05,0.00014387986498707846,0.003288582135246342,8.184177238448542e-05,0.00023065899227229204,0.0015000609131195503,0.0011000198531648906,0.014629033709729074,0.00030017145915132727,0.0002514438665374929,0.00018072193326874647,0.000201173141561713,0.00016054144995155986,0.0008000216579980624,0.0002500056401036621,0.0072061105279807025,0.004930641986481077,0.000665324144396906,0.019301502761738722,0.009089540399784796,0.0010553002044482267,0.0013556435746067868,0.0189209341390818,0,4,0,synthetic_h2_circuit_trace
11,0.0009055086845264088,0.0007424538780512525,2.037437422338667e-06,0.0033777541825598502,0.002567284393874114,8.531807223353025e-06,0.002078325300132406,5.731978225034621e-05,0.00011435491761724758,0.003326270817417272,9.171165160055393e-05,0.00018364668047718345,0.0015000916396590944,0.001100029867740742,0.014639592090635527,0.0003002579486700432,0.0002521721993266795,0.00018108609966333976,0.00020176491195292713,0.00016081457474750483,0.0008000325829899002,0.00025000848515361983,0.005833999766187925,0.00710567278258234,0.0006681579441607521,0.019313549907661057,0.009089540399784796,0.0010553002044482267,0.0013556435746067868,0.0189209341390818,0,4,0,synthetic_h2_circuit_trace
12,0.0006445428481114432,0.0010034391185216732,2.0180333668834385e-06,0.0024170915637013513,0.003470068950885968,9.197607768136396e-06,0.0020913866502665227,6.590630265842046e-05,9.270704707505714e-05,0.003347635325736812,0.00010545008425347273,0.0001493431933989315,0.0015001366089406434,0.001100044524395469,0.014638690644191174,0.0003003845288699592,0.0002532381378522882,0.0001816190689261441,0.0002026309870049842,0.0001612143016946081,0.0008000485720677845,0.0002500126489759855,0.00435856576410798,0.009421965913772867,0.000671581356015416,0.019314907356523876,0.004053631943389475,0.012370071104398092,0.0005719508944756027,0.018423196391313516,1,4,0,synthetic_h2_circuit_trace
13,0.0004177882489703239,0.0012302993733917947,1.9123776378813935e-06,0.0015744988165403114,0.00425550615216212,9.894811303824181e-06,0.0020954236782913483,7.771956506073267e-05,7.685675664791937e-05,0.0033547705135200247,0.00012435130409717225,0.00012446554510371947,0.0015002017891530518,0.0011000657683165503,0.014626368017890782,0.00030056799909747837,0.00025478315029455514,0.00018239157514727758,0.00020388630961432603,0.00016179368136045818,0.0008000717472544184,0.00025001868418083814,0.003069400273134848,0.011435035284554806,0.0006761207540171288,0.019305912857385178,0.004053631943389475,0.012370071104398092,0.0005719508944756027,0.018423196391313516,0,4,0,synthetic_h2_circuit_trace
14,0.00025283899390169735,0.0013953890815314495,1.771924566853176e-06,0.0009572092929489462,0.004828311055564327,1.093433357002655e-05,0.0020908364366871855,9.388635252177332e-05,6.527721079104137e-05,0.003348401205725191,0.00015021816403483729,0.0001066313279983055,0.0015002953517489063,0.0011000962627922362,0.01460272570223267,0.0003008313604784029,0.0002570009303444458,0.0001835004651722229,0.00020568825590486223,0.00016262534887916718,0.0008001050139551667,0.000250027347384158,0.002129591617746729,0.0129028403386654,0.0006826978873171186,0.019287077231645272,0.004053631943389475,0.012370071104398092,0.0005719508944756027,0.018423196391313516,0,4,0,synthetic_h2_circuit_trace
15,0.00014726933086189,0.0015010819175821683,1.648751555941915e-06,0.0005598574701280015,0.005196978527670392,1.2676294762804807e-05,0.0020771706100766916,0.00011596452421449004,5.6864865708818023e-05,0.0033279151809396936,0.00018554323874318403,9.415678857481379e-05,0.0015004283554644951,0.001100139612151391,0.014567931638861813,0.00030120574130746786,0.0002601536110102559,0.00018507680550512796,0.0002082498089458329,0.00016380760412884596,0.0008001523041651538,0.0002500396625430088,0.001530133200328354,0.013849060892174081,0.0006924644654096035,0.01925912230686949,0.004053631943389475,0.012370071104398092,0.0005719508944756027,0.018423196391313516,0,4,0,synthetic_h2_circuit_trace
16,8.473381216425511e-05,0.0015636912755719525,1.5749122637924917e-06,0.00032332857573547357,0.005418258342661651,1.5472455865746475e-05,0.002053099341059906,0.00014607300353851847,5.082765540157548e-05,0.0032913428501544746,0.00023371680566162953,8.588418039868178e-05,0.0015006155907870816,0.001100200636997271,0.014522224512473963,0.0003017327740673412,0.00026459178161971524,0.00018729589080985763,0.00021185582256601863,0.00016547191810739324,0.0008002188767242958,0.000250056999146952,0.001180541600651508,0.014420084648864573,0.0007067558594755496,0.019223027597924644,0.0008216522364456616,0.016656108205189608,4.4185026397908786e-05,0.01936732579084991,1,4,0,synthetic_h2_circuit_trace
17,4.9078977638391635e-05,0.0015993539804380333,1.5670419235751698e-06,0.0001878969920059499,0.005548417103027121,1.9698799590450532e-05,0.0020163897069949816,0.0001870146787063307,4.659561429868753e-05,0.003235314228851422,0.000299223485930129,8.10463383489372e-05,0.00150087660298859,0.0011002857076407256,0.014465918830505475,0.0003024674750789941,0.00027077873750731894,0.00019038936875365948,0.00021688272422469663,0.0001677920265652446,0.0008003116810626099,0.00025008116694338797,0.0009902123249098116,0.014760611098321719,0.0007271964423869459,0.01918008675319872,0.0008216522364456616,0.016656108205189608,4.4185026397908786e-05,0.01936732579084991,0,4,0,synthetic_h2_circuit_trace
18,2.899378390356392e-05,0.0016193683024103768,1.6379136860592827e-06,0.00011132085946817261,0.005627165577553598,2.581523958440588e-05,0.001963915346438337,0.0002423332166993926,4.375143686227071e-05,0.0031550917312228883,0.0003877331467190281,7.916456820931131e-05,0.0015012369063460065,0.0011004031398461058,0.014399410864628195,0.0003034816623072777,0.00027931926153497015,0.00019465963076748509,0.00022382189999716327,0.0001709947230756138,0.0008004397889230246,0.00025011452836537094,0.0008959660292258143,0.0149729672697404,0.0007558577804778199,0.019131974477115624,0.0008216522364456616,0.016656108205189608,4.4185026397908786e-05,0.01936732579084991,0,4,0,synthetic_h2_circuit_trace
19,1.7630844557558717e-05,0.001630563010088678,1.806145353763624e-06,6.785762292569323e-05,0.005678971184387999,3.442211371643938e-05,0.0018918338861027126,0.0003161896058906932,4.1976508006593917e-05,0.0030448686648061967,0.0005059033694251091,7.997273212616247e-05,0.0015017293931076077,0.001100563654049887,0.014323185477995664,0.00030486792133993263,0.0002909930218099591,0.00020049651090497955,0.00023330683022059176,0.00017537238317873465,0.0008006148953271494,0.00025016012899144516,0.0008604549909160264,0.015120690843159146,0.0007954219537251728,0.019080824132912837,0.0008216522364456616,0.016656108205189608,4.4185026397908786e-05,0.01936732579084991,0,4,0,synthetic_h2_circuit_trace
20,1.1110860462226999e-05,0.001636784399122618,2.1047404151547e-06,4.284798815644356e-05,0.0057182375050199245,4.6315665243041697e-05,0.001796107314371007,0.00041288369657306926,4.100898905592384e-05,0.0028986183581447104,0.0006606139145169108,8.336199331169218e-05,0.001502395927460999,0.0011007808948761775,0.014237823788216064,0.00030674409211244133,0.000306792354631085,0.0002083961773155425,0.00024614378813775655,0.00018129713298665687,0.0008008518853194663,0.0002502218451352777,0.000863884984873331,0.015241876710012425,0.0008493529165639613,0.01902931548274243,0.0005997283891747878,0.015554063195293365,0.0012323800988715754,0.015605573619592677,1,4,0,synthetic_h2_circuit_trace
21,7.295033053036225e-06,0.001640112937831659,2.5920291153048588e-06,2.817526338797463e-05,0.005753553939667229,6.255437677257554e-05,0.0016735469777434799,0.0005358394257310358,4.0613596525484464e-05,0.002711784315354999,0.0008573430811696573,8.934543370179771e-05,0.001503289096700238,0.0011010720018874852,0.014144011515263184,0.00030925819811918856,0.00032796377363527224,0.00021898188681763613,0.0002633455660786587,0.0001892364151132271,0.0008011694566045292,0.0002503045459907628,0.0008971411683877939,0.01536010423496681,0.0009220930697323437,0.018980771005556105,0.0005997283891747878,0.015554063195293365,0.0012323800988715754,0.015605573619592677,0,4,0,synthetic_h2_circuit_trace
22,5.011557644355271e-06,0.0016416186955556663,3.36974679997857e-06,1.9376271999621477e-05,0.005790354903065416,8.455169363551679e-05,0.0015233952679616187,0.0006860380710500937,4.056666098828781e-05,0.0024838301788306597,0.0010976609136801499,9.80479076470249e-05,0.0015044740687588782,0.0011014582150028938,0.014042547734758692,0.00031259367502499045,0.0003560520002104462,0.00023302600010522307,0.0002861672501709875,0.00019976950007891733,0.0008015907800031567,0.00025041426562582203,0.0009574727397408944,0.0154912902515979,0.00101930673632733,0.01893925793341148,0.0005997283891747878,0.015554063195293365,0.0012323800988715754,0.015605573619592677,0,4,0,synthetic_h2_circuit_trace
23,3.6150106129338276e-06,0.001641769445498393,4.615543888673219e-06,1.39849613914877e-05,0.005832379908787856,0.00011421905436795413,0.0013490173527082622,0.0008603206973604808,4.066194993125741e-05,0.0022209660495559084,0.0013765131157767692,0.00010972932362050413,0.0015060304775036165,0.0011019654889641416,0.013934353601557684,0.000316974677417587,0.0003929446519375753,0.00025147232596878764,0.00031614252969927993,0.00021360424447659074,0.0008021441697790637,0.0002505583775466311,0.0010460744771925157,0.015647476325280185,0.0011482038973098518,0.018909691575340073,0.0005997283891747878,0.015554063195293365,0.0012323800988715754,0.015605573619592677,0,4,0,synthetic_h2_circuit_trace
24,2.7457808747915005e-06,0.0016406113022436651,6.642916881543272e-06,1.0623520227785083e-05,0.005882345663431878,0.00015420230345646873,0.0011587341800192229,0.0010505279499728713,4.0737870007905846e-05,0.001937499989482472,0.0016808447199565938,0.00012484152162101759,0.0015080542254971296,0.0011026250809027683,0.013820480431001954,0.0003226711532511799,0.0004409149747467784,0.0002754574873733892,0.00035511841698175747,0.0002315931155300419,0.0008028637246212016,0.0002507457616201046,0.0011668090735141856,0.015838600189688523,0.0013180059172579472,0.018897933700292645,0.0009106671967868133,0.01728217180842262,0.001605363569853681,0.017369352435718247,1,4,0,synthetic_h2_circuit_trace
25,2.2007300104257e-06,0.001637786551130496,1.0012718859078283e-05,8.511708500714422e-06,0.0059420496830325025,0.0002082925907777533,0.0009647789868241213,0.0012445070563802602,4.07139567956183e-05,0.001654184777872083,0.0019912112902084164,0.00014409833012548148,0.0015106590598990865,0.0011034740639671097,0.013702116334351928,0.000330003279715947,0.000502659197607975,0.00030632959880398756,0.00040528559805647974,0.00025474719910299065,0.0008037898879641196,0.00025098694999065615,0.0013255549544888279,0.016072808789887483,0.0015406728378570822,0.01891087781467466,0.0009106671967868133,0.01728217180842262,0.001605363569853681,0.017369352435718247,0,4,0,synthetic_h2_circuit_trace
26,1.8637496070224679e-06,0.0016323954144741293,1.5740835918848445e-05,7.202477687505645e-06,0.006011923976893136,0.0002821628773857365,0.0007803335256225854,0.001429052598261237,4.061387611617789e-05,0.001393488014585294,0.002286484157217979,0.00016852104006385404,0.0015139777431675257,0.0011045557088842305,0.013580590414200393,0.0003393447585456284,0.0005813242824895022,0.0003456621412447511,0.00046920097952272055,0.00028424660593356335,0.0008049698642373425,0.0002512942354784746,0.001529874048529889,0.016355356472653737,0.0018321197227925134,0.018956511231619008,0.0009106671967868133,0.01728217180842262,0.001605363569853681,0.017369352435718247,0,4,0,synthetic_h2_circuit_trace
27,1.668205980167307e-06,0.0016226511562497008,2.5680637770131955e-05,6.438525899476156e-06,0.0060898584290355945,0.00038469819613991095,0.0006160413019278659,0.0015934003647161228,4.05583333560115e-05,0.0011740190703235774,0.002549440583545796,0.0001994311813974699,0.0015181626094837599,0.0011059196653132254,0.01345737335331633,0.00035112438225058353,0.0006805211136891249,0.0003952605568445624,0.0005497984048724139,0.0003214454176334218,0.0008064578167053369,0.00025168172310034817,0.001788825075372813,0.016685625035759877,0.002214330862925773,0.019043942074993915,0.0009106671967868133,0.01728217180842262,0.001605363569853681,0.017369352435718247,0,4,0,synthetic_h2_circuit_trace
28,1.576235633600545e-06,0.0016052201176914153,4.320364667498416e-05,6.072954575915032e-06,0.0061689131773919725,0.0005303423211874057,0.00047783603121598285,0.0017314308076857,4.0733161098317e-05,0.001007051606275196,0.0027702892922971197,0.0002383973122784669,0.0015233852743603564,0.001107621867198931,0.01333407309892496,0.00036582521671804066,0.000804317614467711,0.00045715880723385554,0.0006503830617550152,0.0003678691054253916,0.0008083147642170158,0.0002521653031815145,0.0021128208484865185,0.01705129403490413,0.002719019471172923,0.019183378024769954,0.0020715107246081456,0.013743555283933173,0.003047192703443221,0.0201865796247017,1,4,0,synthetic_h2_circuit_trace
29,1.5665937399902097e-06,0.0015741178960010165,7.431551025899324e-05,6.022535558500006e-06,0.006233468576813022,0.0007429304357732432,0.0003668541039883789,0.0018417913620187517,4.135453399286962e-05,0.0008963691930396501,0.0029468661792300026,0.00028716913057305133,0.001529835253284902,0.0011097240825521165,0.013212424279688079,0.00038398071295009476,0.0009572060037902717,0.0005336030018951359,0.0007746048780795957,0.0004252022514213519,0.0008106080900568541,0.00025276252345230577,0.0025134661814730785,0.017418513332232988,0.0033935464469933008,0.019386042961711807,0.0020715107246081456,0.013743555283933173,0.003047192703443221,0.0201865796247017,0,4,0,synthetic_h2_circuit_trace
30,1.6259051343143424e-06,0.0015192278537581485,0.0001291462411075374,6.2340050207918385e-06,0.0062540350184916455,0.0010607930468895894,0.00028081065923715964,0.0019265386881551505,4.265065260768993e-05,0.0008404389099521284,0.0030824619010482407,0.00034762808358135603,0.001537717250320222,0.0011122930297339983,0.01309427002172873,0.0004061670749754398,0.0011440385261089667,0.0006270192630544834,0.0009264063024635355,0.0004952644472908626,0.0008134105778916345,0.0002534923379926132,0.0030033315883488676,0.01771864536114487,0.004308720762480567,0.01966401799513393,0.0020715107246081456,0.013743555283933173,0.003047192703443221,0.0201865796247017,0,4,0,synthetic_h2_circuit_trace
31,1.7394784676857733e-06,0.0014254217147947564,0.00022283880673755818,6.648877502596762e-06,0.0061841015431324696,0.001539756332036922,0.00021572860264467764,0.0019894056788793855,4.486571847593714e-05,0.0008351336565839843,0.0031830490862070166,0.0004217622155275709,0.0015472469039054199,0.0011153989909025073,0.012981534978732345,0.00043299128506710716,0.0013699266110914288,0.0007399633055457144,0.001109940371511786,0.0005799724791592857,0.0008167988991663714,0.0002543747133245759,0.0035956274951485234,0.017840159420325907,0.005563117923804595,0.020029994932782236,0.0020715107246081456,0.013743555283933173,0.003047192703443221,0.0201865796247017,0,4,0,synthetic_h2_circuit_trace
32,1.8798860118867736e-06,0.0012755296905058676,0.00037259042348224564,7.16029010082181e-06,0.005970237386056506,0.0022428240542587915,0.00016727978871146435,0.0020344378830097257,4.828232827880998e-05,0.0008758162531090007,0.003255100612815561,0.0005116578617965659,0.0015586448284343136,0.0011191138700082208,0.012876188680577374,0.0004650743318891786,0.0016400996369615038,0.000875049818480752,0.0013294559550312219,0.0006812873638605638,0.0008208514945544225,0.0002554300767068809,0.0043037592654456835,0.017654147718479396,0.007266261796271656,0.020496933303416568,0.003814374820914883,0.01809336744363606,0.006903373805523824,0.020385482409514957,1,4,0,synthetic_h2_circuit_trace
33,1.999158340418337e-06,0.0010621390502583321,0.0005858617914012497,7.584612126386225e-06,0.005592644129220805,0.0031993196057888353,0.000131544106372311,0.0020651987946379625,5.32570989897266e-05,0.0009584736539395646,0.0033043180714207396,0.0006194992753434676,0.0015721288687895873,0.0011235086683462358,0.012780198747829047,0.0005030294084447639,0.001959721334271696,0.001034860667135848,0.001589148584095753,0.0008011455003518859,0.0008256458200140755,0.0002566785989619988,0.0051407929642385275,0.017117185724249806,0.009473822540641441,0.021077616705743426,0.003814374820914883,0.01809336744363606,0.006903373805523824,0.020385482409514957,0,4,0,synthetic_h2_circuit_trace
34,2.0421715687061048e-06,0.0008051040498996626,0.0008428537785316315,7.714150938798198e-06,0.005125390962183821,0.0043441959499081785,0.00010530585002008912,0.0020844264768833014,6.026767309660952e-05,0.001080092525763678,0.003335082363013282,0.0007475733953342435,0.0015879045909812553,0.0011286503852087056,0.012695474116325819,0.0005474351449842739,0.0023336643788149387,0.0012218321894074693,0.0018929773077871373,0.0009413741420556017,0.000831254965682224,0.0002581393139797459,0.0061189352489910975,0.016424405665440123,0.012092305155954941,0.021784110531793674,0.003814374820914883,0.01809336744363606,0.006903373805523824,0.020385482409514957,0,4,0,synthetic_h2_circuit_trace
35,1.98564055135217e-06,0.0005518825169078816,0.0010961318425407663,7.465088044329478e-06,0.004737280912888698,0.005516556963080415,8.607883609397518e-05,0.0020939481411722193,6.997302273380593e-05,0.0012385841215631545,0.00335031702587555,0.0008982839676689425,0.0016061541627248052,0.0011345983937769734,0.012623799152067601,0.0005988043098920442,0.0027662468201435295,0.0014381234100717649,0.002244450541366618,0.0011035925575538237,0.000837743702302153,0.0002598290891411857,0.007249060434141086,0.01601173164814651,0.01487754089023896,0.022627130822622486,0.003814374820914883,0.01809336744363606,0.006903373805523824,0.020385482409514957,0,4,0,synthetic_h2_circuit_trace
36,1.859791237749188e-06,0.00034726235699208903,0.001300877851770162,6.956202788657199e-06,0.0045869383271450945,0.006563961227134617,7.200984680844218e-05,0.002094698928402778,8.329122478877973e-05,0.0014325009277736925,0.003351518285444445,0.0010741839402907511,0.001627023927384875,0.001141400391147663,0.012566760378953745,0.0006575488326389074,0.0032609375380118514,0.0016854687690059259,0.0026463867496346297,0.0012891015767544443,0.0008451640630701779,0.0002617614747578588,0.008540055805576707,0.016288049991307063,0.01759841032679843,0.023615342779547226,0.009496418874055949,0.01686675252067812,0.018454846274372053,0.023843055554931575,1,4,0,synthetic_h2_circuit_trace
37,1.720759746330302e-06,0.00020639663900824117,0.0014418826012454287,6.400953522920709e-06,0.004729303480485837,0.007435452652955629,6.174784980221498e-05,0.0020867533804063473,0.00010149876979143804,0.0016606898022149443,0.003338805408650155,0.0012780360620458725,0.001650611134101242,0.0011490880733367012,0.01252566843936734,0.0007239424515442372,0.0038200416972146295,0.0019650208486073147,0.0031006588789868864,0.0014987656364554857,0.0008535506254582195,0.00026394547537974465,0.00999783694424039,0.017395513497470705,0.020180970463558823,0.02475461668320283,0.009496418874055949,0.01686675252067812,0.018454846274372053,0.023843055554931575,0,4,0,synthetic_h2_circuit_trace
38,1.6136861281690838e-06,0.00011933792091820095,0.0015290483929536302,5.967748819159407e-06,0.005130936777486616,0.008165804039961392,5.4319922924666134e-05,0.002069328564728011,0.00012635151234732298,0.0019219535175998093,0.0033109257035648172,0.0015129064489845334,0.0016769504439458902,0.001157672737286068,0.012501478791707588,0.0007980827311069502,0.004444380893532214,0.002277190446766107,0.0036079344759949233,0.0017328928350745798,0.0008629157134029832,0.00026638430036536023,0.011624308733701239,0.019247900888551772,0.022681779452372042,0.02604727788105134,0.009496418874055949,0.01686675252067812,0.018454846274372053,0.023843055554931575,0,4,0,synthetic_h2_circuit_trace
39,1.5634708846795182e-06,6.870902017280816e-05,0.0015797275089425124,5.74655495829773e-06,0.005730717688559779,0.008814293363637263,4.902797358743631e-05,0.0020407557828952213,0.00016021624351734255,0.002214751134775939,0.003265209252632354,0.0017822791160820631,0.0017060009720713323,0.00116714105756399,0.012494715437757048,0.0008798545880526396,0.0051329860046538086,0.002621493002326904,0.0041674261287812184,0.001991119751745178,0.0008732447900698071,0.0002690741640806789,0.013416531791237474,0.021685646100870315,0.025191068961807783,0.02749139516583261,0.009496418874055949,0.01686675252067812,0.018454846274372053,0.023843055554931575,0,4,0,synthetic_h2_circuit_trace
40,1.5839616248881406e-06,4.00458284086868e-05,0.001608370209966425,5.784385956115888e-06,0.006475266351001847,0.009428754019259734,4.536744282204097e-05,0.0019984546073411294,0.00020617794983682992,0.0025369481038204755,0.003197527371745807,0.002090142002099792,0.0017376347331187166,0.0011774513204238781,0.01250540257682253,0.0009688977672971284,0.005882823303554766,0.002996411651777383,0.004776668934138246,0.0022723087388330366,0.0008844923495533215,0.00027200321602951084,0.015366093038502449,0.024566340083226446,0.027776185114012253,0.029080157299891475,0.015165462441164753,0.025720229543320556,0.026412690379320897,0.03129650854449696,1,4,0,synthetic_h2_circuit_trace
41,1.6891410288629432e-06,2.389728121746916e-05,0.001624413577753668,6.127055848195333e-06,0.0073259520019765545,0.010038131393301869,4.2964280097291156e-05,0.0019389907863240439,0.00026804493357866506,0.002885619753955403,0.0031023852581184698,0.002440926826439962,0.0017716274159164031,0.0011885304170394203,0.012533009414279801,0.0010645808744313573,0.006688575784685114,0.003399287892342557,0.0054313428250566545,0.0025744659192569173,0.0008965786367702768,0.0002751506866589262,0.017458642816499448,0.027782487618105645,0.03046980399704413,0.030801389714409055,0.015165462441164753,0.025720229543320556,0.026412690379320897,0.03129650854449696,0,4,0,synthetic_h2_circuit_trace
